Seq,Task ID,Title,Category,Implementation Status,Screen,Route,Page Entry,Depends On,Requirement Count,Priority,Detail File Exists,wave_id
31,COMPONENT-SC005-PROFILE,Member 프로필 Tab,COMPONENT,IMPLEMENT,SCR-005,-,-,API-AUTH,2,P0,YES,W09
32,COMPONENT-SC005-MY-ACTIVITY,Member 내 활동 Tab,COMPONENT,IMPLEMENT,SCR-005,-,-,API-APPLICATIONS; API-BLOCKS; API-MATES-WRITE; API-ACCOUNT-DELETE,6,P0,YES,W09
33,COMPONENT-SC005-ADMIN,Admin 관리자 Tab,COMPONENT,IMPLEMENT,SCR-005,-,-,API-REPORTS; API-ADMIN-SETTINGS,2,P1,YES,W09
34,API-MATES-READ,동행글 목록/상세 조회,API,IMPLEMENT,"SCR-001, SCR-004",-,-,DB-SCHEMA-BASE; DB-RLS-BASE,4,P0,YES,W04
35,API-MATES-WRITE,동행글 생성/수정/마감,API,IMPLEMENT,"SCR-003, SCR-005",-,-,DB-SCHEMA-BASE; DB-ACCESS,5,P0,YES,W06
36,API-APPLICATIONS,참가요청 생성/승인/거절,API,IMPLEMENT,"SCR-004, SCR-005",-,-,DB-SCHEMA-BASE; DB-ACCESS,5,P0,YES,W07
37,API-BLOCKS,차단 생성/해제,API,IMPLEMENT,"SCR-004, SCR-005",-,-,DB-SCHEMA-BASE; DB-ACCESS,2,P0,YES,W07
38,API-REPORTS,신고 생성/관리자 상태변경,API,IMPLEMENT,"SCR-004, SCR-005",-,-,DB-SCHEMA-BASE; DB-ACCESS,4,P0,YES,W08
39,API-ADMIN-SETTINGS,외부 URL 설정 저장,API,IMPLEMENT,SCR-005,-,-,DB-SCHEMA-BASE; DB-ACCESS,1,P1,YES,W09
40,API-AUTH,이메일 가입/인증/로그인/성인확인,API,IMPLEMENT,"SCR-003, SCR-005",-,-,DB-SCHEMA-BASE,3,P0,YES,W03
41,API-ACCOUNT-DELETE,탈퇴/개인정보 삭제,API,IMPLEMENT,SCR-005,-,-,DB-SCHEMA-BASE; DB-ACCESS,2,P1,YES,W09
42,DB-SCHEMA-BASE,Supabase 스키마(6테이블 제한),DB,IMPLEMENT,ALL,-,-,,7,P0,YES,W03
43,DB-RLS-BASE,RLS 정책,DB,IMPLEMENT,ALL,-,-,DB-SCHEMA-BASE,2,P0,YES,W03
44,DB-ACCESS,Supabase 클라이언트/서버 접근 레이어,DB,IMPLEMENT,ALL,-,-,DB-SCHEMA-BASE; DB-RLS-BASE,7,P0,YES,W03
45,DB-SEED-BASE,개발/테스트 시드 데이터,DB,IMPLEMENT (지원),ALL,-,-,DB-SCHEMA-BASE,0,P2,YES,W03
46,DATA-DESTINATIONS,여행지 정적 데이터,DATA,IMPLEMENT,"SCR-001, SCR-002",-,-,,10,P0,YES,W02
47,DATA-SAFETY,국가 안전정보 정적 데이터,DATA,IMPLEMENT,SCR-001,-,-,,11,P0,YES,W02
48,DATA-REPRESENTATIVE,대표(About) 정적 데이터,DATA,IMPLEMENT,"SCR-001, SCR-002",-,-,,7,P1,YES,W02
49,DATA-POLICY-CONTENT,이용약관·개인정보·안전수칙·면책 정적 콘텐츠,DATA,IMPLEMENT,"SCR-003, SCR-005",-,-,,1,P1,YES,W02
50,UNIT-TRAVEL-DATES,날짜 검증 단위 테스트,UNIT,IMPLEMENT,SCR-003,-,-,COMPONENT-SC003-FLIGHT-FORM; COMPONENT-SC003-HOTEL-FORM,2,P0,YES,W11
51,UNIT-CONTACT-DETECTION,공개 연락처 탐지 단위 테스트,UNIT,IMPLEMENT,SCR-003,-,-,COMPONENT-SC003-MATE-WRITE,1,P0,YES,W11
52,UNIT-MATE-STATE,동행글/요청 상태 전이 단위 테스트,UNIT,IMPLEMENT,SCR-004,-,-,API-MATES-WRITE; API-APPLICATIONS,4,P0,YES,W11
53,TEST-RLS-BASIC,Supabase RLS 통합 테스트,INTEGRATION,IMPLEMENT,ALL,-,-,DB-RLS-BASE,2,P0,YES,W11
54,E2E-PUBLIC-SMOKE,Chromium Smoke: 공개 탐색 흐름,E2E,IMPLEMENT,"SCR-001, SCR-002",-,-,PAGE-SCR001; PAGE-SCR002,7,P0,YES,W10
55,E2E-TRAVEL-TOOLS,Chromium Smoke: 항공·숙소·동행 도구 흐름,E2E,IMPLEMENT,SCR-003,-,-,PAGE-SCR003,9,P0,YES,W10
56,E2E-MATE-AUTH,Chromium Smoke: 가입~동행~신고 흐름,E2E,IMPLEMENT,"SCR-003, SCR-004, SCR-005",-,-,PAGE-SCR003; PAGE-SCR004; PAGE-SCR005,11,P0,YES,W10
57,MANUAL-CHECK-ACCESSIBILITY,접근성 수동 점검,MANUAL_CHECK,IMPLEMENT,ALL,-,-,PAGE-SCR001; PAGE-SCR002; PAGE-SCR003; PAGE-SCR004; PAGE-SCR005,3,P1,YES,W10
58,MANUAL-CHECK-RESPONSIVE-DENSITY,반응형 콘텐츠 밀도 점검,MANUAL_CHECK,IMPLEMENT,ALL,-,-,PAGE-SCR001; PAGE-SCR002; PAGE-SCR003; PAGE-SCR004; PAGE-SCR005,1,P1,YES,W10
59,MANUAL-CHECK-EXTERNAL-LINKS,외부 링크 새 탭 동작 점검,MANUAL_CHECK,IMPLEMENT,SCR-003,-,-,PAGE-SCR003,4,P1,YES,W10
60,OPS-CI-PIPELINE,CI 파이프라인(빌드/lint/유닛/E2E),OPS,IMPLEMENT,ALL,-,-,UNIT-TRAVEL-DATES; UNIT-CONTACT-DETECTION; UNIT-MATE-STATE; TEST-RLS-BASIC; E2E-PUBLIC-SMOKE; E2E-TRAVEL-TOOLS; E2E-MATE-AUTH,2,P1,YES,W11
61,OPS-VERCEL-SUPABASE-CHECK,Vercel/Supabase 배포·비용 확인,OPS,IMPLEMENT,ALL,-,-,OPS-CI-PIPELINE,2,P1,YES,W12
